Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,INTU,0,0,0,0,64010000000.00001,63590000000.0,51.95,33.44,2.54,10.27,22.9,10.2,35.74,20.1,25.04,19.07,63.39,6230000000.0,24.16,12.2,5000000000.0,1780000000.0,1250000000.0,4.76,3.3,1330000000.0,5.14,413000000.0,14.77,1.32,10.79,2140000000.0000002,946000000.0,0.97,225.82,214.59,1670000.0,259070000.0,248720000.0,4.06,90.05,2940000.0,2.06,1.32,3630000.0
0,0,ORCL,0,0,0,0,187920000000.0,196150000000.0,52.26,14.31,1.53,4.71,6.22,4.92,12.34,10.19,35.74,6.93,9.31,39890000000.0,10.1,-0.3,31750000000.0,15900000000.0,4059999999.9999995,1.0,5.4,49390000000.0,13.76,58290000000.0,187.71,2.8,8.42,15240000000.0,10790000000.0,1.11,50.72,48.9,18430000.0,3590000000.0,2450000000.0,31.8,55.94,51850000.0,3.91,1.96,46570000.0
0,0,MU,0,0,0,0,44830000000.0,44370000000.0,3.29,6.31,-0.29,1.42,1.32,1.41,2.15,46.82,49.57,23.87,50.68,31500000000.0,27.35,16.3,17890000000.0,20620000000.0,14750000000.0,12.14,23.0,5560000000.0,4.96,4130000000.0,11.87,2.9,30.24,18570000000.0,3600000000.0,1.26,39.09,40.03,35040000.0,1120000000.0,1070000000.0000001,4.32,79.51,62500000.0,1.64,5.59,61150000.0
0,0,PPL,0,0,0,0,23420000000.0,44840000000.0,12.59,12.74,3.72,3.01,2.01,5.76,10.44,23.47,40.1,4.6,16.3,7780000000.0,11.05,0.7,4269999999.9999995,4290000000.0,1820000000.0,2.58,432.1,621000000.0,0.86,22120000000.0,189.77,0.53,16.18,2820000000.0,-684630000.0,0.65,30.92,30.29,5480000.0,720940000.0,720660000.0,0.21,58.63,42370000.0,8.64,6.1,46970000.0
0,0,BA,0,0,0,0,243010000000.0,249820000000.0,24.1,18.41,0.98,2.4,720.47,2.47,17.77,10.34,11.81,6.5,985.4,101130000000.0,174.39,14.4,19640000000.0,14060000000.0,10460000000.0,17.85,3.1,8560000000.000001,15.16,13850000000.0,3377.32,1.08,0.6,15320000000.0,8330000000.0,1.33,396.16,359.78,4300000.0,564990000.0,564580000.0,0.07,70.59,4410000.0,1.0,0.75,5290000.0
0,0,RHI,0,0,0,0,7850000000.0,7630000000.0,18.79,15.6,2.4,1.35,7.38,1.32,11.69,7.49,10.12,19.47,40.06,5800000000.0,48.13,10.1,2410000000.0,653170000.0,434290000.0,3.57,141.4,276580000.0,2.36,0.06,0.06,1.8,9.09,572320000.0,447140000.0,1.54,64.06,64.6,1080000.0,117030000.0,113800000.0,2.9,97.93,10870000.0,9.55,10.19,9710000.0
0,0,CBS,0,0,0,0,18720000000.0,28520000000.0,9.77,7.64,0.58,1.29,6.68,1.97,9.13,13.5,19.99,8.49,81.97,14510000000.0,38.5,2.6,5400000000.0,3120000000.0,1960000000.0,5.14,,322000000.0,0.86,10150000000.0,362.05,1.48,7.52,1430000000.0,1900000000.0,1.0,49.54,52.28,3250000.0,347680000.0,331330000.0,7.77,0.0,8070000.0,2.75,2.4,8600000.0
0,0,BF-B,0,0,0,0,24550000000.0,26660000000.0,33.22,28.14,3.33,7.47,16.46,8.11,24.13,22.79,31.52,12.79,47.65,3290000000.0,6.84,-0.4,2200000000.0,1100000000.0,749000000.0,1.55,4.2,193000000.0,0.41,2550000000.0,170.07,3.07,3.13,686000000.0,536500000.0,0.4,47.54,48.35,1310000.0,307950000.0,323250000.0,,,11400000.0,8.83,,8930000.0
0,0,GRPN,0,0,0,0,1950000000.0,1340000000.0,,13.68,0.75,0.74,5.1,0.51,8.89,-0.42,3.38,3.35,0.63,2640000000.0,4.65,-8.4,1320000000.0,150990000.0,-11080000.0,-0.02,-3.1,841020000.0,1.48,231360000.0,60.47,1.04,0.67,190860000.0,15210000.0,1.2,3.595,3.5205,7240000.0,570310000.0,386650000.0,28.22,64.63,25650000.0,3.38,7.17,34460000.0
0,0,ESRX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
